12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
24.0,62.0,13.0,4523.0,10.0,49.0,17.0,3943.0,13.0,52.0,19.0,4441.0,8.0,43.0,6.0,3079.0,7.0,43.0,17.0,3373.0,7.0,22.0,8.0,1484.0,26,Chelsea FC,Premier League,both,173.0,Eden Hazard,Belgium,W
15.0,35.0,8.0,2660.0,10.0,46.0,4.0,3368.0,5.0,49.0,4.0,3258.0,10.0,49.0,11.0,3881.0,5.0,41.0,12.0,2026.0,7.0,25.0,5.0,1227.0,29,Chelsea FC,Premier League,right,175.0,Willian,Brazil,W
12.0,45.0,10.0,3415.0,13.0,54.0,19.0,3321.0,9.0,50.0,11.0,2199.0,3.0,43.0,9.0,2781.0,12.0,43.0,13.0,2723.0,4.0,21.0,4.0,1123.0,30,Chelsea FC,Premier League,both,167.0,Pedro,Spain,W
5.0,44.0,10.0,2480.0,0.0,22.0,2.0,853.0,6.0,23.0,4.0,1666.0,2.0,27.0,2.0,1333.0,4.0,40.0,4.0,3045.0,2.0,13.0,1.0,1003.0,27,Chelsea FC,Premier League,right,177.0,Victor Moses,Nigeria  England,W
8.0,33.0,14.0,2196.0,2.0,34.0,9.0,969.0,7.0,46.0,15.0,2302.0,12.0,47.0,12.0,2377.0,6.0,43.0,20.0,1902.0,4.0,22.0,10.0,1576.0,25,Chelsea FC,Premier League,right,189.0,Álvaro Morata,Spain,CF
13.0,44.0,20.0,3054.0,4.0,51.0,36.0,4155.0,5.0,37.0,20.0,2935.0,11.0,41.0,16.0,3370.0,8.0,42.0,22.0,3490.0,,,,,29,Chelsea FC,Premier League,right,186.0,Diego Costa,Spain  Brazil,CF
5.0,36.0,12.0,2308.0,8.0,49.0,23.0,3764.0,0.0,28.0,10.0,1107.0,10.0,50.0,23.0,4150.0,3.0,29.0,11.0,792.0,1.0,16.0,9.0,678.0,24,Chelsea FC,Premier League,both,185.0,Michy Batshuayi,Belgium  Congo DR,CF
2.0,17.0,1.0,769.0,15.0,38.0,13.0,2910.0,3.0,27.0,9.0,1658.0,7.0,42.0,9.0,2925.0,8.0,37.0,9.0,2597.0,8.0,22.0,8.0,1487.0,21,Manchester City,Premier League,left,184.0,Leroy Sané,Germany  France,W
6.0,38.0,3.0,2385.0,12.0,39.0,11.0,2624.0,10.0,52.0,11.0,4519.0,10.0,47.0,11.0,2981.0,21.0,47.0,10.0,3627.0,4.0,21.0,13.0,1553.0,23,Manchester City,Premier League,right,170.0,Raheem Sterling,England  Jamaica,W
,,,,7.0,41.0,7.0,3024.0,4.0,45.0,10.0,3073.0,3.0,44.0,7.0,3192.0,12.0,58.0,11.0,4296.0,3.0,22.0,1.0,855.0,23,Manchester City,Premier League,left,173.0,Bernardo Silva,Portugal,W
5.0,40.0,17.0,2716.0,14.0,34.0,28.0,2288.0,9.0,42.0,32.0,3200.0,5.0,44.0,29.0,3523.0,6.0,45.0,33.0,3503.0,3.0,17.0,12.0,1317.0,29,Manchester City,Premier League,right,173.0,Sergio Agüero,Argentina  Spain,CF
,,,,,,,,2.0,20.0,4.0,1302.0,4.0,28.0,17.0,2314.0,5.0,11.0,7.0,741.0,4.0,23.0,10.0,1401.0,20,Manchester City,Premier League,right,175.0,Gabriel Jesus,Brazil,CF
0.0,4.0,0.0,57.0,1.0,15.0,2.0,706.0,5.0,48.0,12.0,2560.0,11.0,56.0,18.0,4663.0,8.0,42.0,8.0,2517.0,7.0,23.0,8.0,1164.0,22,Manchester United,Premier League,right,183.0,Anthony Martial,France  Guadeloupe,W
